DyadID,ParticipantID,TrialNum,ClickTime_s,Clicked
15230929,2,10,8.194186,1
15230929,2,11,17.448780,1
15230929,2,12,13.030900,1
15230929,2,13,11.664681,1
15230929,2,14,52.348385,1
15230929,2,15,9.194168,1
15230929,2,16,11.310478,1
15230929,2,17,11.411618,1
15230929,2,18,23.067931,1
16231006,1,1,25.254911,1
16231006,1,2,30.249627,1
16231006,1,3,27.731391,1
16231006,1,4,43.848194,1
16231006,1,5,14.147252,1
16231006,1,6,39.638986,1
16231006,1,7,31.162995,1
16231006,1,8,38.922311,1
16231006,1,9,18.361978,1
16231006,1,10,23.032982,1
16231006,1,11,28.398612,1
16231006,1,12,28.257867,1
16231006,1,13,12.254652,1
16231006,1,14,16.258115,1
16231006,1,15,25.599694,1
16231006,1,16,21.738083,1
16231006,1,17,25.254080,1
16231006,1,18,24.347402,1
16231006,2,1,NaN,0
16231006,2,2,NaN,0
16231006,2,3,NaN,0
16231006,2,4,NaN,0
16231006,2,5,NaN,0
16231006,2,6,NaN,0
16231006,2,7,NaN,0
16231006,2,8,NaN,0
16231006,2,9,NaN,0
16231006,2,10,NaN,0
16231006,2,11,NaN,0
16231006,2,12,NaN,0
16231006,2,13,3.069761,1
16231006,2,14,19.641091,1
16231006,2,15,21.612578,1
16231006,2,16,36.978055,1
16231006,2,17,37.830390,1
16231006,2,18,NaN,0
17231010,1,1,43.583183,1
17231010,1,2,36.698347,1
17231010,1,3,39.522717,1
17231010,1,4,NaN,0
17231010,1,5,34.555984,1
17231010,1,6,38.133882,1
17231010,1,7,25.897342,1
17231010,1,8,20.609207,1
17231010,1,9,53.587845,1
17231010,1,10,42.878622,1
17231010,1,11,12.030676,1
17231010,1,12,50.117212,1
17231010,1,13,13.939692,1
17231010,1,14,23.923303,1
17231010,1,15,NaN,0
17231010,1,16,NaN,0
17231010,1,17,35.981620,1
17231010,1,18,12.223386,1
17231010,2,1,37.812147,1
17231010,2,2,NaN,0
17231010,2,3,54.736366,1
17231010,2,4,30.778582,1
17231010,2,5,46.071596,1
17231010,2,6,26.734783,1
17231010,2,7,NaN,0
17231010,2,8,22.360274,1
17231010,2,9,NaN,0
17231010,2,10,42.994233,1
17231010,2,11,NaN,0
17231010,2,12,NaN,0
17231010,2,13,49.557157,1
17231010,2,14,25.014161,1
17231010,2,15,19.596011,1
17231010,2,16,NaN,0
17231010,2,17,40.594512,1
17231010,2,18,NaN,0
18231016,1,1,NaN,0
18231016,1,2,13.883615,1
18231016,1,3,8.824517,1
18231016,1,4,25.088304,1
18231016,1,5,6.795964,1
