dyad,pid,r_hR_full,r_hL_full,xc_peak_full,xc_lag_full,PLV_full,dphi_mu_full,r_hR_pre,r_hL_pre,xc_peak_pre,xc_lag_pre,PLV_pre,dphi_mu_pre,r_hR_post,r_hL_post,xc_peak_post,xc_lag_post,PLV_post,dphi_mu_post
9,1,-0.12687800563456783,0.09113647786038613,-0.4596843003063513,4.8,0.7615612659276647,-0.08309918866019353,0.6814255127126291,0.7230392815575011,0.6814255127126287,0.0,0.7193320877349139,-0.031519638103098505,0.2703450062599839,0.09478513144166884,0.35188861760381707,1.7,0.7778140410589598,-0.04171278697456485
9,2,0.37653078598082446,0.1999582237150938,-0.46613481282506475,-10.0,0.9867205067749133,0.001022072173770454,0.7758686929107308,0.5426811523948475,0.7758686929107306,0.0,0.9234536072876928,0.01516040149824354,0.6223953752311076,0.33148104686481195,-0.7033101710423134,-10.0,0.9894258033438579,0.0003084840799513819
10,1,-0.5738957592895396,0.6283977450077808,-0.5738957592895397,0.0,0.9072729720234457,3.129038458906159,-0.9452260268642994,0.5448001608768767,-0.9452260268642998,0.0,0.77253832235213,3.0589872584712774,-0.2555574698815449,0.014228857374375027,-0.6028235158372595,3.3,0.920930744208747,3.1330961872800156
10,2,-0.15560519791227384,-0.11990952956651953,-0.43741511435459823,7.6,0.7121848377886059,0.8018092414254774,-0.3902553949073189,-0.31491742319715577,-0.39025539490731875,0.0,0.8644706105215657,0.013956171790166604,-0.33453642354982227,-0.5408824181054488,-0.5611985472326749,5.9,0.606264458388282,1.4539135674396186
11,1,-0.37136056615154567,-0.4146365387469719,0.7159435423083143,10.0,0.6057274112808634,0.4429736597905347,-0.8114312807385405,-0.8531007003378288,-0.811431280738541,0.0,0.8532031810663864,0.3414937163083882,-0.2911141722566306,-0.27587918299682684,0.4446389208813497,8.8,0.4937387879886097,0.09763990183971928
11,2,0.2445762610285904,0.22757787613304267,0.35189749813423427,6.5,0.28155771739714036,-0.054617173921576584,0.10689837514777184,-0.1238899174442447,0.7060189029704322,5.6,0.4809229619135134,0.6256493629859763,0.37990629703290113,0.5466723871039465,0.458041720993985,-2.2,0.3185596832529231,-0.08636216946878779
12,1,-0.7130689986023209,-0.5462381337987514,-0.7884004471339736,-1.3,0.8040153004284837,-0.06254455033983389,-0.39382730822733997,0.27324506543950733,-0.448693673842349,4.9,0.7231974738666466,-0.14130447504297367,-0.711568688789892,-0.6347632147946519,-0.716162235772205,0.3,0.715168535400542,-0.3935199284021263
12,2,0.08261118124204939,0.11692608204062035,0.4892720254665935,-8.0,0.7224003079490109,0.028792239723511144,-0.7703409631079481,-0.6170075167479723,-0.8231893624966635,-1.1,0.6551407190198012,0.08311895143810857,0.46756114944437377,0.5761253591181011,0.6491383902855946,-4.1,0.7870824579668964,0.06125343267529772
13,1,0.4573801386012383,0.27551266570846855,0.644406879729196,-8.4,0.9843166602732215,0.0001935022369362794,-0.34165911983051295,0.0684139066237304,0.5978811921646331,7.6,0.9901857059017697,-0.00015518642562408462,0.3357685392801412,0.2750998942934661,-0.6424750379153826,-3.7,0.9840576673106154,0.0003651746387600233
13,2,-0.36433996055295964,0.2386131858847487,-0.576571236455993,-2.0,0.695392300758988,-0.07290576819862253,-0.3957170245435344,0.56982358476102,-0.5116440361910446,-1.3,0.6077251894172345,-0.05077578009309091,0.26636964638149374,0.4461968845649495,0.7606137524748943,2.7,0.6251046873767258,-0.12473827420080334
14,1,0.16680421651138624,0.19283224097620766,0.5708742510805275,4.3,0.4848069118375519,0.04041256900794054,-0.4974355315655579,0.20276563321734167,-0.6680660021414931,4.0,0.6184805422214815,-0.22777034270882404,0.44467087736064376,0.30141720597997457,0.8542757086404577,4.1,0.5366016505734608,-0.021593593852615462
14,2,-0.07451407593725776,-0.03320243357354354,0.7417849039245766,7.4,0.9966810162352796,1.2489248467361828e-05,-0.05944549919796349,-0.09666160561346702,0.7221407500186235,5.4,0.9984122509297175,1.4116699505406481e-05,0.0774732126712519,0.15176077288529843,-0.3873583523547274,-6.2,0.9979841575119117,-3.70560156073707e-06
15,1,0.12764138041871617,-0.28334642768288143,0.41383735613243045,6.1,0.9641663712483356,-0.0014949917735709566,0.6609431313905322,0.8766036856317233,0.696648577183868,-1.7,0.8202103941084907,-0.22689823429716732,-0.6673654850060123,-0.6333892224755415,-0.6718290516724823,0.3,0.9862645636529329,0.0004809249799524483
15,2,0.11551277605522171,0.33033188835455607,0.6000605592442138,9.3,0.9812773473809092,0.1610321476328689,-0.3877529866925922,-0.38642389081872486,-0.5490526312800053,1.8,0.7518357605238062,0.05499144175963212,-0.0649703768103504,-0.04563035361075026,-0.5524972241767268,5.3,0.9835059476561293,0.0005975131181660417
16,1,-0.337262106077823,-0.7040875724001355,-0.5098298141463112,-4.6,0.9332734741441931,0.018122938033621982,0.05692545147695133,-0.27800548650127777,0.5097279372564151,5.9,0.8826875217067949,0.009612777235429047,-0.4850219133455213,-0.6964264043487656,-0.4850219133455215,0.0,0.9178217703351499,-0.0006691657881260975
16,2,-0.5985735141654308,-0.5170078846660069,-0.6592861891304689,-6.5,0.30148374887577156,2.7164779414032,-0.8299732217767155,-0.39515281489839466,-0.8362594441036492,0.4,0.0895213701087743,-0.9603578773041198,-0.4644353459745316,-0.04500486192613856,-0.554677902607837,-1.4,0.2827792146336518,2.9744439114742107
17,1,0.16517288450726916,0.2410107829435238,0.33749761561760244,8.5,0.11271968058148935,-0.11016714280228393,0.17231209030884226,0.2951694645958485,0.712903404657728,8.7,0.6094560149571668,0.2771142194297012,0.014689635561648385,0.046292980462862426,-0.5252782019759958,-6.5,0.1260535932416512,2.686512202010045
17,2,0.3600905138684902,0.10681554280598601,-0.6590049067184578,4.0,0.6693534604968981,0.11654015066505553,-0.5282433677445303,-0.7426255521733778,-0.5282433677445296,0.0,0.7435076855750189,0.012689069629291758,0.35932933749125695,0.26875572276552057,-0.7894796012132971,4.6,0.5815986127546297,0.18007652806622318
