channel,tau_star,A_free,B_free,R2_free,RMSE_free,trough_amp_free,t_trough_free,A_lock,B_lock,R2_lock,RMSE_lock,dR2
FC4,5.5,-46.3591293878825,0.156334583553859,0.379588293664189,1.73945494873585,-6.27402590631185,25.5494295438436,-48.898885985912,0.587249250360561,0.363222182579117,1.90018969594118,0.0163661110850726
FC6,5.7,-68.0416603780804,1.25442154426558,0.67230816344646,1.39417909361963,-9.20843737915692,25.6758536556093,-79.1549275896783,2.70407433534607,0.645544137209701,1.72141776198103,0.0267640262367588
FT8,13.7,-43.9910756869068,2.4741142458235,0.660732667825884,0.925337103875894,-5.9535446879708,30.7328181262378,-67.8450650264597,5.75535713002081,0.628860449358736,1.52967776321888,0.0318722184671485
FT10,0,-52.8423313512969,14.8671306902652,0.589625117467385,1.03696495144764,-7.15143188031071,22.0727664702865,-41.3526998722346,13.4871084051515,0.557782577217425,1.08063625567436,0.03184254024996
T7,3.8,-51.0566105620851,9.58751012519808,0.785408962190206,0.774835013866098,-6.90976085152122,24.4748245938351,-50.4595274838528,9.51595070283092,0.783898598911192,0.777557006288951,0.00151036327901366
C5,15,-41.0853102138213,5.17629975767381,0.675862339366568,0.835269810166269,-5.5602920946516,31.5545748527149,-58.5327914398266,7.81173568477349,0.578761289056524,1.46556082811113,0.0971010503100445
C3,4.2,-36.6532670083079,6.12348244334706,0.722449256894743,0.666762227838644,-4.96048027211655,24.7276728173665,-37.0963272541347,6.18585758991106,0.721509656679,0.676402373432471,0.000939600215742797
C1,10.7,13.387772327032,4.68174066052369,0.233024983133313,0.712901362355435,1.81183795978617,28.8364564497521,7.32061579836496,5.21517605970323,0.0700552237691224,0.782791578010415,0.162969759364191
Cz,10.9,22.3246187850345,7.97502505272678,0.811498867982155,0.315813880762502,3.02130860642205,28.9628805615178,39.6980973847061,5.74524151239557,0.709700577814693,0.745152926637239,0.101798290167462
C2,2.5,25.2313220440049,3.72970531735882,0.55569817434386,0.662137675169368,3.4146881152596,23.6530678673579,17.6029269493906,4.61830708198993,0.431469029138991,0.593030936054627,0.124229145204869
C4,4.7,-29.348176525961,6.57900013004979,0.318158188152503,1.26093676264673,-3.97184378261904,25.0437330967808,-29.1642887812537,6.59813961631796,0.3055807734785,1.29029631749589,0.0125774146740024
C6,6.1,-80.614179818036,10.9254487988668,0.885402824141681,0.841618386829447,-10.9099428585611,25.9287018791407,-77.4893100730571,10.7632681420392,0.772948152191852,1.23259200175015,0.112454671949828
T8,3.4,-49.1121931889506,10.4064323818068,0.721977851229123,0.884915881419143,-6.64661257559787,24.2219763703036,-48.0164249967333,10.2615340462184,0.717430750107778,0.884407649504338,0.00454710112134482
TP9,0,-76.9326982292132,16.6035101098197,0.411791192932558,2.16280770920691,-10.4117085050074,22.0727664702865,-40.7833780399675,12.611456683622,0.177622198868342,2.57549360447408,0.234168994064216
TP7,3.8,-90.5637605669587,14.1122120432802,0.814543255018427,1.25463697425909,-12.2564721873021,24.4748245938351,-89.3690734354206,13.9712381737641,0.810515648790404,1.26818741787777,0.00402760622802301
CP5,3.9,-51.7926196645196,10.3666304842886,0.746794525878348,0.875576940160569,-7.00936885186392,24.5380366497179,-51.2783508887051,10.3090917003765,0.745109944930111,0.880218572459626,0.00168458094823676
CP3,6.3,-49.5297005431965,12.1656650156425,0.713812835187811,0.910053156529163,-6.70311605163811,26.0551259909065,-41.8395625129624,11.3799347152954,0.539412972764094,1.13467766040327,0.174399862423717
CP1,2.5,24.758640884299,7.89363512136186,0.245669512980904,1.27327064705034,3.35071767663018,23.6530678673579,12.6515445271503,9.285918744608,0.0968367717278164,1.13395738301572,0.148832741253088
