DyadID,ParticipantID,TrialNum,ClickTime_s,PAS
23,2,18,28.89216,4
24,1,1,37.710613,3
24,1,2,8.798244,3
24,1,3,16.385501,4
24,1,4,7.43229,3
24,1,5,17.640177,4
24,1,6,8.275549,4
24,1,7,11.7973,3
24,1,8,7.343588,2
24,1,9,17.088415,3
24,1,10,15.681565,3
24,1,11,18.078733,3
24,1,12,22.233154,3
24,1,13,10.992336,3
24,1,14,13.322038,3
24,1,15,13.984787,3
24,1,16,11.029546,3
24,1,17,17.50064,3
24,1,18,19.807832,3
24,2,2,19.798085,2
24,2,3,56.427782,2
24,2,4,23.618356,2
24,2,6,33.594959,3
24,2,7,53.647364,2
24,2,8,29.037187,2
24,2,9,24.470178,2
24,2,10,19.57533,3
24,2,11,39.275503,4
24,2,12,44.007729,4
24,2,13,45.187708,2
24,2,14,43.036032,2
24,2,15,20.503456,3
24,2,16,30.455302,2
24,2,17,31.839043,3
24,2,18,28.941306,3
25,1,2,43.737867,2
25,1,3,33.475346,3
25,1,4,35.068676,3
25,1,6,40.340559,3
25,1,7,11.824137,3
25,1,8,13.178281,3
25,1,9,40.432365,2
25,1,10,9.757096,3
25,1,11,33.519482,3
25,1,12,48.855973,1
25,1,13,24.158245,3
25,1,14,40.133783,3
25,1,15,31.5047,3
25,1,16,31.593394,3
25,1,17,43.064289,3
25,1,18,23.767165,3
25,2,1,26.4627,3
25,2,2,43.74264,3
25,2,3,32.654054,3
25,2,4,32.668168,3
25,2,5,24.487248,3
25,2,6,30.632142,3
25,2,7,20.476163,3
25,2,8,35.895603,3
25,2,10,32.601741,3
25,2,11,33.236108,3
25,2,12,50.567288,3
25,2,13,16.722386,3
25,2,14,42.683804,3
25,2,15,13.260251,3
25,2,16,24.481928,3
25,2,17,37.420831,3
25,2,18,54.662751,3
26,1,1,40.377852,3
26,1,2,45.595369,2
26,1,4,45.664019,3
26,1,5,23.537554,3
26,1,6,37.195783,3
26,1,7,18.411646,4
26,1,8,33.68593,3
26,1,9,28.265022,3
26,1,10,40.69924,3
26,1,11,19.86254,4
26,1,12,46.720096,3
26,1,13,48.580404,3
26,1,14,42.041656,2
26,1,15,25.250502,3
26,1,16,32.578554,2
26,1,17,43.670063,3
26,1,18,27.16655,3
26,2,1,27.195427,2
26,2,2,38.154802,2
26,2,3,31.555654,2
26,2,4,22.940573,2
26,2,5,17.737475,3
26,2,6,31.711091,2
26,2,7,19.885248,3
26,2,8,34.170044,3
26,2,9,28.713239,2
26,2,10,40.619688,3
26,2,11,31.121541,2
26,2,12,21.214183,2
26,2,13,16.295291,4
26,2,14,41.867019,2
26,2,15,22.952397,2
26,2,16,22.4184,4
26,2,17,44.281265,2
26,2,18,32.691436,4
27,1,1,16.489776,2
27,1,2,49.618904,3
27,1,3,32.261138,2
27,1,4,34.174563,3
27,1,6,22.14057,4
27,1,7,15.978644,3
27,1,8,21.96059,4
27,1,9,23.341251,3
27,1,10,17.922132,4
27,1,11,50.16574,3
27,1,12,24.298214,2
27,1,13,18.853636,2
27,1,15,49.832354,3
27,1,16,51.835969,4
27,1,17,46.255236,3
27,1,18,48.47157,4
27,2,1,38.697309,4
27,2,2,16.454685,4
27,2,3,39.002839,4
27,2,4,19.657294,4
27,2,5,23.998741,4
27,2,6,11.912327,4
27,2,7,12.790802,4
27,2,8,18.44479,4
27,2,9,20.298684,4
27,2,10,18.601466,4
27,2,11,16.308167,4
27,2,12,15.826354,4
27,2,13,20.113229,4
27,2,14,32.743556,4
27,2,15,26.330109,4
27,2,16,18.738902,4
27,2,17,14.503499,4
27,2,18,16.487976,4
28,1,1,35.408423,3
28,1,2,40.500562,3
28,1,4,51.472446,1
28,1,5,27.399512,4
28,1,6,57.390627,4
28,1,7,21.02691,4
28,1,8,38.336656,3
28,1,9,27.868031,2
28,1,11,51.978613,2
28,1,12,36.429492,3
28,1,14,56.270781,1
28,1,15,20.718207,3
28,1,16,30.81738,4
28,1,17,23.638968,4
28,1,18,16.468981,4
28,2,1,48.940842,2
28,2,3,27.617774,2
28,2,5,40.69894,2
28,2,8,40.432649,2
28,2,9,46.036148,2
28,2,12,40.593005,3
28,2,14,54.565321,2
28,2,15,58.258436,2
28,2,16,26.228072,3
28,2,17,30.247485,3
28,2,18,40.553379,3
29,1,1,44.826366,2
29,1,2,43.20937,3
29,1,3,54.948174,3
29,1,4,32.16944,2
29,1,5,53.372068,3
29,1,7,29.295445,4
29,1,8,59.189917,2
29,1,9,32.217393,2
29,1,10,53.132795,2
29,1,11,43.518257,2
29,1,12,23.226586,4
29,1,13,15.616982,3
29,1,14,31.496564,4
29,1,15,30.422951,3
29,1,16,40.835512,3
29,1,17,49.972723,3
29,1,18,29.64547,4
29,2,1,26.594524,2
29,2,2,34.490278,3
29,2,3,50.7062,2
29,2,4,29.051149,2
29,2,5,40.361766,3
29,2,7,17.76007,2
29,2,8,38.941121,3
29,2,9,13.032072,3
29,2,10,10.731475,4
29,2,11,17.900782,2
29,2,12,22.293536,3
29,2,13,33.853061,3
29,2,14,20.317446,4
29,2,15,14.840523,3
29,2,16,34.740452,2
29,2,17,18.361512,3
29,2,18,25.283628,4
30,1,1,12.311683,2
30,1,2,33.184822,2
30,1,3,27.343986,2
30,1,4,49.155485,2
30,1,6,19.695692,3
